noise_density,noise_magnitude,method,nmi,simulation,signal_strength
0.1,10.0,spectral_unnormalized,1.0,3,2.0
0.1,10.0,rpca,1.0,3,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,3,2.0
0.1,10.0,spectral_unnormalized,0.9291252238549075,4,2.0
0.1,10.0,rpca,1.0,4,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,4,2.0
0.1,10.0,spectral_unnormalized,1.0,5,2.0
0.1,10.0,rpca,1.0,5,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,5,2.0
0.1,10.0,spectral_unnormalized,1.0,6,2.0
0.1,10.0,rpca,1.0,6,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,6,2.0
0.1,10.0,spectral_unnormalized,1.0,7,2.0
0.1,10.0,rpca,1.0,7,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,7,2.0
0.1,10.0,spectral_unnormalized,1.0,8,2.0
0.1,10.0,rpca,1.0,8,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,8,2.0
0.1,10.0,spectral_unnormalized,1.0,9,2.0
0.1,10.0,rpca,1.0,9,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,9,2.0
0.1,12.0,spectral_unnormalized,0.8782063702756283,0,2.0
0.1,12.0,rpca,1.0,0,2.0
0.1,12.0,outlier_pursuit,0.018639764244343528,0,2.0
0.1,12.0,spectral_unnormalized,0.9291252238549075,1,2.0
0.1,12.0,rpca,1.0,1,2.0
0.1,12.0,outlier_pursuit,0.018639764244343528,1,2.0
0.1,12.0,spectral_unnormalized,0.9291252238549075,2,2.0
0.1,12.0,rpca,1.0,2,2.0
0.1,12.0,outlier_pursuit,0.018639764244343528,2,2.0
0.1,12.0,spectral_unnormalized,0.9291252238549075,3,2.0
0.1,12.0,rpca,1.0,3,2.0
0.1,12.0,outlier_pursuit,0.018639764244343528,3,2.0
0.1,12.0,spectral_unnormalized,0.9291252238549075,4,2.0
0.1,12.0,rpca,1.0,4,2.0
0.1,12.0,outlier_pursuit,0.018639764244343528,4,2.0
0.1,12.0,spectral_unnormalized,1.0,5,2.0
0.1,12.0,rpca,1.0,5,2.0
0.1,12.0,outlier_pursuit,0.018639764244343528,5,2.0
0.1,12.0,spectral_unnormalized,1.0,6,2.0
0.1,12.0,rpca,1.0,6,2.0
0.1,12.0,outlier_pursuit,0.018639764244343528,6,2.0
0.1,12.0,spectral_unnormalized,1.0,7,2.0
0.1,12.0,rpca,1.0,7,2.0
0.1,12.0,outlier_pursuit,0.018639764244343528,7,2.0
