noise_density,noise_magnitude,method,nmi,simulation,signal_strength
0.05,10.0,outlier_pursuit,0.018639764244343528,8,2.0
0.05,10.0,spectral_unnormalized,0.8782063702756283,9,2.0
0.05,10.0,rpca,0.8782063702756283,9,2.0
0.05,10.0,outlier_pursuit,0.018639764244343528,9,2.0
0.05,12.0,spectral_unnormalized,0.3931934722666314,0,2.0
0.05,12.0,rpca,0.7577078109175857,0,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,0,2.0
0.05,12.0,spectral_unnormalized,0.0030699128472179648,1,2.0
0.05,12.0,rpca,0.8079616479391557,1,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,1,2.0
0.05,12.0,spectral_unnormalized,0.8782063702756283,2,2.0
0.05,12.0,rpca,0.8347636587075117,2,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,2,2.0
0.05,12.0,spectral_unnormalized,0.8079616479391557,3,2.0
0.05,12.0,rpca,0.8585594574581797,3,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,3,2.0
0.05,12.0,spectral_unnormalized,0.7648442977525683,4,2.0
0.05,12.0,rpca,0.7648442977525683,4,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,4,2.0
0.05,12.0,spectral_unnormalized,0.44632888749472316,5,2.0
0.05,12.0,rpca,0.8347636587075117,5,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,5,2.0
0.05,12.0,spectral_unnormalized,0.8079616479391557,6,2.0
0.05,12.0,rpca,0.8585594574581795,6,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,6,2.0
0.05,12.0,spectral_unnormalized,0.8079616479391557,7,2.0
0.05,12.0,rpca,0.7577078109175857,7,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,7,2.0
0.05,12.0,spectral_unnormalized,0.9291252238549075,8,2.0
0.05,12.0,rpca,0.9291252238549075,8,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,8,2.0
0.05,12.0,spectral_unnormalized,0.47063913471263574,9,2.0
0.05,12.0,rpca,0.8782063702756283,9,2.0
0.05,12.0,outlier_pursuit,0.018639764244343528,9,2.0
0.05,14.0,spectral_unnormalized,0.20550722361410448,0,2.0
0.05,14.0,rpca,0.7577078109175857,0,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,0,2.0
0.05,14.0,spectral_unnormalized,0.0013366261245429105,1,2.0
0.05,14.0,rpca,0.8079616479391557,1,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,1,2.0
0.05,14.0,spectral_unnormalized,0.44297551540683705,2,2.0
0.05,14.0,rpca,0.8347636587075117,2,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,2,2.0
0.05,14.0,spectral_unnormalized,0.329100323955614,3,2.0
0.05,14.0,rpca,0.8585594574581797,3,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,3,2.0
0.05,14.0,spectral_unnormalized,0.22335453837072453,4,2.0
